"","collectionunitid","chronologyid","chronologyname","ageboundolder","ageboundyounger","agetype","agemodel"
"584",4440,2064,"FAUNMAP 1.1",24000,9250,"Radiocarbon years BP","Individually dated analysis units"
"585",4441,2065,"FAUNMAP 1.1",35000,5300,"Radiocarbon years BP","Individually dated analysis units"
"586",4442,2066,"FAUNMAP 1.1",110000,1,"Radiocarbon years BP","Individually dated analysis units"
"587",4443,2067,"FAUNMAP 1.1",1300,400,"Radiocarbon years BP","Individually dated analysis units"
"588",4445,2069,"FAUNMAP 1.1",1140,600,"Radiocarbon years BP","Individually dated analysis units"
"589",4446,2070,"FAUNMAP 1.1",11910,11300,"Radiocarbon years BP","Individually dated analysis units"
"590",4447,2071,"FAUNMAP 1.1",35000,10000,"Radiocarbon years BP","Individually dated analysis units"
"591",4448,2072,"FAUNMAP 1.1",35000,10000,"Radiocarbon years BP","Individually dated analysis units"
"592",44480,43404,"FAUNMAP 1.1",11470,250,"Radiocarbon years BP","Individually dated analysis units"
"593",4449,2073,"FAUNMAP 1.1",20000,11000,"Radiocarbon years BP","Individually dated analysis units"
"594",4450,2074,"FAUNMAP 1.1",22000,1000,"Radiocarbon years BP","Individually dated analysis units"
"595",4454,2078,"FAUNMAP 1.1",11150,10190,"Radiocarbon years BP","Individually dated analysis units"
"596",4455,2079,"FAUNMAP 1.1",35000,10000,"Radiocarbon years BP","Individually dated analysis units"
"597",4456,2080,"FAUNMAP 1.1",34600,9440,"Radiocarbon years BP","Individually dated analysis units"
"598",4457,2081,"FAUNMAP 1.1",35000,200,"Radiocarbon years BP","Individually dated analysis units"
"599",4458,2082,"FAUNMAP 1.1",110000,11500,"Calendar years BP","Individually dated analysis units"
"600",4460,2084,"FAUNMAP 1.1",110000,11500,"Calendar years BP","Individually dated analysis units"
"601",4461,2085,"FAUNMAP 1.1",110000,11500,"Calendar years BP","Individually dated analysis units"
"602",4463,2087,"FAUNMAP 1.1",2490,1050,"Radiocarbon years BP","Individually dated analysis units"
"603",4465,2089,"FAUNMAP 1.1",3450,250,"Radiocarbon years BP","Individually dated analysis units"
"604",4468,2092,"FAUNMAP 1.1",660,660,"Radiocarbon years BP","Individually dated analysis units"
"605",4470,2094,"FAUNMAP 1.1",9700,1,"Radiocarbon years BP","Individually dated analysis units"
"606",4471,2095,"FAUNMAP 1.1",11000,1000,"Radiocarbon years BP","Individually dated analysis units"
"607",4472,2096,"FAUNMAP 1.1",35000,1,"Radiocarbon years BP","Individually dated analysis units"
"608",4476,2100,"FAUNMAP 1.1",1218,1218,"Radiocarbon years BP","Individually dated analysis units"
"609",4481,2105,"FAUNMAP 1.1",29870,17880,"Radiocarbon years BP","Individually dated analysis units"
"610",4483,2107,"FAUNMAP 1.1",23000,10000,"Radiocarbon years BP","Individually dated analysis units"
"611",4484,2108,"FAUNMAP 1.1",65000,1,"Radiocarbon years BP","Individually dated analysis units"
"612",4488,2112,"FAUNMAP 1.1",35000,7805,"Radiocarbon years BP","Individually dated analysis units"
"613",4490,2114,"FAUNMAP 1.1",35000,200,"Radiocarbon years BP","Individually dated analysis units"
"614",4491,2115,"FAUNMAP 1.1",35000,10000,"Radiocarbon years BP","Individually dated analysis units"
"615",4492,2116,"FAUNMAP 1.1",14650,6090,"Radiocarbon years BP","Individually dated analysis units"
"616",4493,2117,"FAUNMAP 1.1",14010,2535,"Radiocarbon years BP","Individually dated analysis units"
"617",4494,2118,"FAUNMAP 1.1",4300,3020,"Radiocarbon years BP","Individually dated analysis units"
"618",4497,2121,"FAUNMAP 1.1",10000,8000,"Radiocarbon years BP","Individually dated analysis units"
"619",4498,2122,"FAUNMAP 1.1",26500,11820,"Radiocarbon years BP","Individually dated analysis units"
"620",4499,2123,"FAUNMAP 1.1",620,400,"Radiocarbon years BP","Individually dated analysis units"
"621",4500,2124,"FAUNMAP 1.1",950,590,"Radiocarbon years BP","Individually dated analysis units"
"622",4501,2125,"FAUNMAP 1.1",850,750,"Radiocarbon years BP","Individually dated analysis units"
"623",4503,2127,"FAUNMAP 1.1",6100,4508,"Radiocarbon years BP","Individually dated analysis units"
"624",4504,2128,"FAUNMAP 1.1",10085,1,"Radiocarbon years BP","Individually dated analysis units"
"625",4505,2129,"FAUNMAP 1.1",21380,1,"Radiocarbon years BP","Individually dated analysis units"
"626",4514,2138,"FAUNMAP 1.1",550,450,"Radiocarbon years BP","Individually dated analysis units"
"627",4520,2144,"FAUNMAP 1.1",750,350,"Radiocarbon years BP","Individually dated analysis units"
"628",4523,2147,"FAUNMAP 1.1",950,550,"Radiocarbon years BP","Individually dated analysis units"
"629",4525,2149,"FAUNMAP 1.1",950,550,"Radiocarbon years BP","Individually dated analysis units"
"630",4529,2153,"FAUNMAP 1.1",4450,3950,"Radiocarbon years BP","Individually dated analysis units"
"631",4531,2155,"FAUNMAP 1.1",4950,3950,"Radiocarbon years BP","Individually dated analysis units"
"632",4533,2157,"FAUNMAP 1.1",3660,1330,"Radiocarbon years BP","Individually dated analysis units"
"633",4535,2159,"FAUNMAP 1.1",960,680,"Radiocarbon years BP","Individually dated analysis units"
"634",4536,2160,"FAUNMAP 1.1",1125,630,"Radiocarbon years BP","Individually dated analysis units"
"635",4537,2161,"FAUNMAP 1.1",235,169,"Radiocarbon years BP","Individually dated analysis units"
"636",4538,2162,"FAUNMAP 1.1",1650,1150,"Radiocarbon years BP","Individually dated analysis units"
"637",4539,2163,"FAUNMAP 1.1",35000,1,"Radiocarbon years BP","Individually dated analysis units"
"638",4540,2164,"FAUNMAP 1.1",35000,10000,"Radiocarbon years BP","Individually dated analysis units"
"639",4541,2165,"FAUNMAP 1.1",14700,12965,"Radiocarbon years BP","Individually dated analysis units"
"640",4542,2166,"FAUNMAP 1.1",110000,1,"Radiocarbon years BP","Individually dated analysis units"
"641",4544,2168,"FAUNMAP 1.1",4560,3280,"Radiocarbon years BP","Individually dated analysis units"
"642",4553,2177,"FAUNMAP 1.1",35000,1400,"Radiocarbon years BP","Individually dated analysis units"
"643",4564,2188,"FAUNMAP 1.1",14000,10000,"Radiocarbon years BP","Individually dated analysis units"
"644",4565,2189,"FAUNMAP 1.1",16775,16775,"Radiocarbon years BP","Individually dated analysis units"
"645",4566,2190,"FAUNMAP 1.1",35000,25000,"Radiocarbon years BP","Individually dated analysis units"
"646",4567,2191,"FAUNMAP 1.1",11135,9550,"Radiocarbon years BP","Individually dated analysis units"
"647",4568,2192,"FAUNMAP 1.1",10000,1800,"Radiocarbon years BP","Individually dated analysis units"
"648",4570,2194,"FAUNMAP 1.1",10000,1,"Radiocarbon years BP","Individually dated analysis units"
"649",4571,2195,"FAUNMAP 1.1",35000,1,"Radiocarbon years BP","Individually dated analysis units"
"650",4577,2201,"FAUNMAP 1.1",4430,1270,"Radiocarbon years BP","Individually dated analysis units"
"651",4579,2203,"FAUNMAP 1.1",35000,8000,"Radiocarbon years BP","Individually dated analysis units"
"652",4582,2206,"FAUNMAP 1.1",13000,13000,"Radiocarbon years BP","Individually dated analysis units"
"653",4592,2216,"FAUNMAP 1.1",11500,1,"Radiocarbon years BP","Individually dated analysis units"
"654",4593,2217,"FAUNMAP 1.1",1450,250,"Radiocarbon years BP","Individually dated analysis units"
"655",4594,2218,"FAUNMAP 1.1",3480,1015,"Radiocarbon years BP","Individually dated analysis units"
"656",4595,2219,"FAUNMAP 1.1",14300,12280,"Radiocarbon years BP","Individually dated analysis units"
"657",4596,2220,"FAUNMAP 1.1",7290,1,"Radiocarbon years BP","Individually dated analysis units"
"658",4597,2221,"FAUNMAP 1.1",11000,3800,"Radiocarbon years BP","Individually dated analysis units"
"659",4599,2223,"FAUNMAP 1.1",10500,350,"Radiocarbon years BP","Individually dated analysis units"
"660",4600,2224,"FAUNMAP 1.1",10000,1,"Radiocarbon years BP","Individually dated analysis units"
"661",4602,2226,"FAUNMAP 1.1",20000,10000,"Radiocarbon years BP","Individually dated analysis units"
"662",4603,2227,"FAUNMAP 1.1",7800,7500,"Radiocarbon years BP","Individually dated analysis units"
"663",4604,2228,"FAUNMAP 1.1",8760,4520,"Radiocarbon years BP","Individually dated analysis units"
"664",4605,2229,"FAUNMAP 1.1",9180,350,"Radiocarbon years BP","Individually dated analysis units"
"665",4606,2230,"FAUNMAP 1.1",11760,5000,"Radiocarbon years BP","Individually dated analysis units"
"666",4607,2231,"FAUNMAP 1.1",10000,1820,"Radiocarbon years BP","Individually dated analysis units"
"667",4609,2233,"FAUNMAP 1.1",17220,12170,"Radiocarbon years BP","Individually dated analysis units"
"668",4610,2234,"FAUNMAP 1.1",2820,1420,"Radiocarbon years BP","Individually dated analysis units"
"669",4611,2235,"FAUNMAP 1.1",775,650,"Radiocarbon years BP","Individually dated analysis units"
"670",4613,2237,"FAUNMAP 1.1",35000,10030,"Radiocarbon years BP","Individually dated analysis units"
"671",4614,2238,"FAUNMAP 1.1",1800,1660,"Radiocarbon years BP","Individually dated analysis units"
"672",4616,2240,"FAUNMAP 1.1",280,210,"Radiocarbon years BP","Individually dated analysis units"
"673",4619,2243,"FAUNMAP 1.1",11840,10220,"Radiocarbon years BP","Individually dated analysis units"
"674",4620,2244,"FAUNMAP 1.1",10060,9830,"Radiocarbon years BP","Individually dated analysis units"
"675",4622,2246,"FAUNMAP 1.1",35000,9000,"Radiocarbon years BP","Individually dated analysis units"
"676",4625,2249,"FAUNMAP 1.1",11200,10864,"Radiocarbon years BP","Individually dated analysis units"
"677",4627,2251,"FAUNMAP 1.1",530,450,"Radiocarbon years BP","Individually dated analysis units"
"678",4628,2252,"FAUNMAP 1.1",370,200,"Radiocarbon years BP","Individually dated analysis units"
"679",4632,2256,"FAUNMAP 1.1",1620,500,"Radiocarbon years BP","Individually dated analysis units"
"680",4637,2261,"FAUNMAP 1.1",1170,990,"Radiocarbon years BP","Individually dated analysis units"
"681",4642,2266,"FAUNMAP 1.1",10700,10080,"Radiocarbon years BP","Individually dated analysis units"
"682",4646,2270,"FAUNMAP 1.1",4430,3800,"Radiocarbon years BP","Individually dated analysis units"
"683",4647,2271,"FAUNMAP 1.1",9590,9590,"Radiocarbon years BP","Individually dated analysis units"
"684",4649,2273,"FAUNMAP 1.1",10000,1000,"Radiocarbon years BP","Individually dated analysis units"
"685",4652,2276,"FAUNMAP 1.1",250,250,"Radiocarbon years BP","Individually dated analysis units"
"686",4655,2279,"FAUNMAP 1.1",7730,7730,"Radiocarbon years BP","Individually dated analysis units"
"687",4656,2280,"FAUNMAP 1.1",1550,1250,"Radiocarbon years BP","Individually dated analysis units"
"688",4657,2281,"FAUNMAP 1.1",4540,4410,"Radiocarbon years BP","Individually dated analysis units"
"689",4658,2282,"FAUNMAP 1.1",4000,100,"Radiocarbon years BP","Individually dated analysis units"
"690",4659,2283,"FAUNMAP 1.1",4170,4170,"Radiocarbon years BP","Individually dated analysis units"
"691",4662,2286,"FAUNMAP 1.1",2840,2760,"Radiocarbon years BP","Individually dated analysis units"
"692",4664,2288,"FAUNMAP 1.1",3160,3000,"Radiocarbon years BP","Individually dated analysis units"
"693",4671,2295,"FAUNMAP 1.1",10060,6876,"Radiocarbon years BP","Individually dated analysis units"
"694",4673,2297,"FAUNMAP 1.1",1800,1,"Radiocarbon years BP","Individually dated analysis units"
"695",4676,2300,"FAUNMAP 1.1",1160,1160,"Radiocarbon years BP","Individually dated analysis units"
"696",4677,2301,"FAUNMAP 1.1",8000,1460,"Radiocarbon years BP","Individually dated analysis units"
"697",4678,2302,"FAUNMAP 1.1",1130,1,"Radiocarbon years BP","Individually dated analysis units"
"698",4679,2303,"FAUNMAP 1.1",6480,4290,"Radiocarbon years BP","Individually dated analysis units"
"699",4681,2305,"FAUNMAP 1.1",9650,9650,"Radiocarbon years BP","Individually dated analysis units"
"700",4683,2307,"FAUNMAP 1.1",10000,100,"Radiocarbon years BP","Individually dated analysis units"
"701",4684,2308,"FAUNMAP 1.1",7290,1140,"Radiocarbon years BP","Individually dated analysis units"
"702",4691,2315,"FAUNMAP 1.1",2850,960,"Radiocarbon years BP","Individually dated analysis units"
"703",4702,2326,"FAUNMAP 1.1",1660,1660,"Radiocarbon years BP","Individually dated analysis units"
"704",4704,2328,"FAUNMAP 1.1",700,700,"Radiocarbon years BP","Individually dated analysis units"
"705",4706,2330,"FAUNMAP 1.1",3970,1070,"Radiocarbon years BP","Individually dated analysis units"
"706",4713,2337,"FAUNMAP 1.1",789,450,"Radiocarbon years BP","Individually dated analysis units"
"707",4718,2342,"FAUNMAP 1.1",36300,11580,"Radiocarbon years BP","Individually dated analysis units"
"708",4720,2344,"FAUNMAP 1.1",2950,950,"Radiocarbon years BP","Individually dated analysis units"
"709",4722,2346,"FAUNMAP 1.1",11220,11200,"Radiocarbon years BP","Individually dated analysis units"
"710",4724,2348,"FAUNMAP 1.1",939,564,"Radiocarbon years BP","Individually dated analysis units"
"711",4731,2355,"FAUNMAP 1.1",1760,1,"Radiocarbon years BP","Individually dated analysis units"
"712",4732,2356,"FAUNMAP 1.1",750,700,"Radiocarbon years BP","Individually dated analysis units"
"713",4733,2357,"FAUNMAP 1.1",1950,1450,"Radiocarbon years BP","Individually dated analysis units"
"714",4734,2358,"FAUNMAP 1.1",1450,750,"Radiocarbon years BP","Individually dated analysis units"
"715",4735,2359,"FAUNMAP 1.1",900,790,"Radiocarbon years BP","Individually dated analysis units"
"716",4746,2370,"FAUNMAP 1.1",1270,730,"Radiocarbon years BP","Individually dated analysis units"
"717",4750,2374,"Neotoma 1",815,515,"Radiocarbon years BP","Individually dated analysis units"
"718",4751,2375,"Neotoma 1",730,370,"Radiocarbon years BP","Individually dated analysis units"
"719",4753,2377,"Neotoma 1",700,460,"Radiocarbon years BP","Individually dated analysis units"
"720",4754,2378,"Neotoma 1",820,540,"Radiocarbon years BP","Individually dated analysis units"
"721",4764,2388,"FAUNMAP 1.1",580,500,"Radiocarbon years BP","Individually dated analysis units"
"722",4766,2390,"FAUNMAP 1.1",2420,1170,"Radiocarbon years BP","Individually dated analysis units"
"723",4767,2391,"FAUNMAP 1.1",4500,1545,"Radiocarbon years BP","Individually dated analysis units"
"724",4769,2393,"FAUNMAP 1.1",1858,1070,"Radiocarbon years BP","Individually dated analysis units"
"725",4771,2395,"FAUNMAP 1.1",1870,1780,"Radiocarbon years BP","Individually dated analysis units"
"726",4772,2396,"FAUNMAP 1.1",601,399,"Radiocarbon years BP","Individually dated analysis units"
"727",4774,2398,"FAUNMAP 1.1",2000,1000,"Radiocarbon years BP","Individually dated analysis units"
"728",4778,2402,"FAUNMAP 1.1",896,737,"Radiocarbon years BP","Individually dated analysis units"
"729",4779,2403,"FAUNMAP 1.1",1750,720,"Radiocarbon years BP","Individually dated analysis units"
"730",4780,2404,"FAUNMAP 1.1",1697,1001,"Radiocarbon years BP","Individually dated analysis units"
"731",4782,2406,"FAUNMAP 1.1",1450,350,"Radiocarbon years BP","Individually dated analysis units"
"732",4784,2408,"FAUNMAP 1.1",1450,920,"Radiocarbon years BP","Individually dated analysis units"
"733",4787,2411,"FAUNMAP 1.1",230,200,"Radiocarbon years BP","Individually dated analysis units"
"734",4789,2413,"FAUNMAP 1.1",2460,1,"Radiocarbon years BP","Individually dated analysis units"
"735",4791,2415,"FAUNMAP 1.1",1875,1875,"Radiocarbon years BP","Individually dated analysis units"
"736",4792,2416,"FAUNMAP 1.1",1030,760,"Radiocarbon years BP","Individually dated analysis units"
"737",4794,2418,"FAUNMAP 1.1",12000,8390,"Radiocarbon years BP","Individually dated analysis units"
"738",4800,2424,"FAUNMAP 1.1",1520,1520,"Radiocarbon years BP","Individually dated analysis units"
"739",4801,2425,"FAUNMAP 1.1",1050,1050,"Radiocarbon years BP","Individually dated analysis units"
"740",4805,2429,"FAUNMAP 1.1",11100,11100,"Radiocarbon years BP","Individually dated analysis units"
"741",4806,2430,"FAUNMAP 1.1",700,600,"Radiocarbon years BP","Individually dated analysis units"
"742",4807,2431,"FAUNMAP 1.1",860,860,"Radiocarbon years BP","Individually dated analysis units"
"743",4808,2432,"FAUNMAP 1.1",610,610,"Radiocarbon years BP","Individually dated analysis units"
"744",4809,2433,"FAUNMAP 1.1",1935,1935,"Radiocarbon years BP","Individually dated analysis units"
"745",4811,2435,"FAUNMAP 1.1",35000,26700,"Radiocarbon years BP","Individually dated analysis units"
"746",4813,2437,"FAUNMAP 1.1",5850,4840,"Radiocarbon years BP","Individually dated analysis units"
"747",4814,2438,"FAUNMAP 1.1",1820,1590,"Radiocarbon years BP","Individually dated analysis units"
"748",4835,2459,"FAUNMAP 1.1",1725,1725,"Radiocarbon years BP","Individually dated analysis units"
"749",4838,2462,"FAUNMAP 1.1",1700,150,"Radiocarbon years BP","Individually dated analysis units"
"750",4839,2463,"FAUNMAP 1.1",2000,200,"Radiocarbon years BP","Individually dated analysis units"
"751",4840,2464,"FAUNMAP 1.1",1905,200,"Radiocarbon years BP","Individually dated analysis units"
"752",4841,2465,"FAUNMAP 1.1",750,750,"Radiocarbon years BP","Individually dated analysis units"
"753",4842,2466,"FAUNMAP 1.1",1950,1950,"Radiocarbon years BP","Individually dated analysis units"
"754",4843,2467,"FAUNMAP 1.1",1920,1350,"Radiocarbon years BP","Individually dated analysis units"
"755",4844,2468,"FAUNMAP 1.1",5000,820,"Radiocarbon years BP","Individually dated analysis units"
"756",4845,2469,"FAUNMAP 1.1",8500,550,"Radiocarbon years BP","Individually dated analysis units"
"757",4848,2472,"FAUNMAP 1.1",400,275,"Radiocarbon years BP","Individually dated analysis units"
"758",4854,2478,"FAUNMAP 1.1",1000,500,"Radiocarbon years BP","Individually dated analysis units"
"759",4855,2479,"FAUNMAP 1.1",475,360,"Radiocarbon years BP","Individually dated analysis units"
"760",4859,2483,"FAUNMAP 1.1",1015,695,"Radiocarbon years BP","Individually dated analysis units"
"761",4861,2485,"FAUNMAP 1.1",650,490,"Radiocarbon years BP","Individually dated analysis units"
"762",4862,2486,"FAUNMAP 1.1",780,780,"Radiocarbon years BP","Individually dated analysis units"
"763",4863,2487,"FAUNMAP 1.1",980,900,"Radiocarbon years BP","Individually dated analysis units"
"764",4864,2488,"FAUNMAP 1.1",985,910,"Radiocarbon years BP","Individually dated analysis units"
"765",4871,2495,"FAUNMAP 1.1",1850,1350,"Radiocarbon years BP","Individually dated analysis units"
"766",4872,2496,"FAUNMAP 1.1",2230,550,"Radiocarbon years BP","Individually dated analysis units"
"767",4875,2499,"FAUNMAP 1.1",1190,810,"Radiocarbon years BP","Individually dated analysis units"
"768",4876,2500,"FAUNMAP 1.1",900,560,"Radiocarbon years BP","Individually dated analysis units"
"769",4880,2504,"FAUNMAP 1.1",975,550,"Radiocarbon years BP","Individually dated analysis units"
"770",4884,2508,"FAUNMAP 1.1",730,300,"Radiocarbon years BP","Individually dated analysis units"
"771",4888,2512,"FAUNMAP 1.1",670,670,"Radiocarbon years BP","Individually dated analysis units"
"772",4889,2513,"FAUNMAP 1.1",8030,310,"Radiocarbon years BP","Individually dated analysis units"
"773",4890,2514,"FAUNMAP 1.1",280,280,"Radiocarbon years BP","Individually dated analysis units"
"774",4891,2515,"FAUNMAP 1.1",930,770,"Radiocarbon years BP","Individually dated analysis units"
"775",4892,2516,"FAUNMAP 1.1",830,795,"Radiocarbon years BP","Individually dated analysis units"
"776",4893,2517,"FAUNMAP 1.1",1000,1,"Radiocarbon years BP","Individually dated analysis units"
"777",4894,2518,"FAUNMAP 1.1",970,900,"Radiocarbon years BP","Individually dated analysis units"
"778",4895,2519,"FAUNMAP 1.1",9524,9524,"Radiocarbon years BP","Individually dated analysis units"
"779",4896,2520,"FAUNMAP 1.1",1030,665,"Radiocarbon years BP","Individually dated analysis units"
"780",4905,2529,"FAUNMAP 1.1",750,670,"Radiocarbon years BP","Individually dated analysis units"
"781",4907,2531,"FAUNMAP 1.1",865,710,"Radiocarbon years BP","Individually dated analysis units"
"782",4908,2532,"FAUNMAP 1.1",930,715,"Radiocarbon years BP","Individually dated analysis units"
"783",4909,2533,"FAUNMAP 1.1",940,510,"Radiocarbon years BP","Individually dated analysis units"
"784",4910,2534,"FAUNMAP 1.1",1260,500,"Radiocarbon years BP","Individually dated analysis units"
"785",4911,2535,"FAUNMAP 1.1",8125,6633,"Radiocarbon years BP","Individually dated analysis units"
"786",4913,2537,"FAUNMAP 1.1",350,105,"Radiocarbon years BP","Individually dated analysis units"
"787",4914,2538,"FAUNMAP 1.1",742,1,"Radiocarbon years BP","Individually dated analysis units"
"788",4916,2540,"FAUNMAP 1.1",2310,300,"Radiocarbon years BP","Individually dated analysis units"
"789",4917,2541,"FAUNMAP 1.1",590,420,"Radiocarbon years BP","Individually dated analysis units"
"790",4918,2542,"FAUNMAP 1.1",4010,350,"Radiocarbon years BP","Individually dated analysis units"
"791",4920,2544,"FAUNMAP 1.1",560,270,"Radiocarbon years BP","Individually dated analysis units"
"792",4922,2546,"FAUNMAP 1.1",440,355,"Radiocarbon years BP","Individually dated analysis units"
"793",4923,2547,"FAUNMAP 1.1",560,380,"Radiocarbon years BP","Individually dated analysis units"
"794",4924,2548,"FAUNMAP 1.1",615,450,"Radiocarbon years BP","Individually dated analysis units"
"795",4932,2556,"FAUNMAP 1.1",600,180,"Radiocarbon years BP","Individually dated analysis units"
"796",4938,2562,"FAUNMAP 1.1",2500,100,"Radiocarbon years BP","Individually dated analysis units"
"797",4947,2571,"FAUNMAP 1.1",840,510,"Radiocarbon years BP","Individually dated analysis units"
"798",4952,2576,"FAUNMAP 1.1",1000,620,"Radiocarbon years BP","Individually dated analysis units"
"799",4953,2577,"FAUNMAP 1.1",585,425,"Radiocarbon years BP","Individually dated analysis units"
"800",4954,2578,"FAUNMAP 1.1",1920,960,"Radiocarbon years BP","Individually dated analysis units"
"801",4955,2579,"FAUNMAP 1.1",550,500,"Radiocarbon years BP","Individually dated analysis units"
"802",4956,2580,"FAUNMAP 1.1",380,260,"Radiocarbon years BP","Individually dated analysis units"
"803",4957,2581,"FAUNMAP 1.1",550,425,"Radiocarbon years BP","Individually dated analysis units"
"804",4958,2582,"FAUNMAP 1.1",650,170,"Radiocarbon years BP","Individually dated analysis units"
"805",4962,2586,"FAUNMAP 1.1",705,690,"Radiocarbon years BP","Individually dated analysis units"
"806",4963,2587,"FAUNMAP 1.1",975,860,"Radiocarbon years BP","Individually dated analysis units"
"807",4965,2589,"FAUNMAP 1.1",860,860,"Radiocarbon years BP","Individually dated analysis units"
"808",4967,2591,"FAUNMAP 1.1",945,712,"Radiocarbon years BP","Individually dated analysis units"
"809",4968,2592,"FAUNMAP 1.1",825,765,"Radiocarbon years BP","Individually dated analysis units"
"810",4969,2593,"FAUNMAP 1.1",855,790,"Radiocarbon years BP","Individually dated analysis units"
"811",4970,2594,"FAUNMAP 1.1",1080,690,"Radiocarbon years BP","Individually dated analysis units"
"812",4971,2595,"FAUNMAP 1.1",850,835,"Radiocarbon years BP","Individually dated analysis units"
"813",4972,2596,"FAUNMAP 1.1",1010,1010,"Radiocarbon years BP","Individually dated analysis units"
"814",4973,2597,"FAUNMAP 1.1",875,690,"Radiocarbon years BP","Individually dated analysis units"
"815",4974,2598,"FAUNMAP 1.1",985,730,"Radiocarbon years BP","Individually dated analysis units"
"816",4975,2599,"FAUNMAP 1.1",925,545,"Radiocarbon years BP","Individually dated analysis units"
"817",4976,2600,"FAUNMAP 1.1",1065,1030,"Radiocarbon years BP","Individually dated analysis units"
"818",4977,2601,"FAUNMAP 1.1",1000,700,"Radiocarbon years BP","Individually dated analysis units"
"819",4978,2602,"FAUNMAP 1.1",700,700,"Radiocarbon years BP","Individually dated analysis units"
"820",4979,2603,"FAUNMAP 1.1",765,650,"Radiocarbon years BP","Individually dated analysis units"
"821",4980,2604,"FAUNMAP 1.1",870,820,"Radiocarbon years BP","Individually dated analysis units"
"822",4981,2605,"FAUNMAP 1.1",1470,1360,"Radiocarbon years BP","Individually dated analysis units"
"823",4986,2610,"FAUNMAP 1.1",730,730,"Radiocarbon years BP","Individually dated analysis units"
"824",4988,2612,"FAUNMAP 1.1",6200,3190,"Radiocarbon years BP","Individually dated analysis units"
"825",4990,2614,"FAUNMAP 1.1",1100,880,"Radiocarbon years BP","Individually dated analysis units"
"826",4991,2615,"FAUNMAP 1.1",20530,20530,"Radiocarbon years BP","Individually dated analysis units"
"827",4992,2616,"FAUNMAP 1.1",730,370,"Radiocarbon years BP","Individually dated analysis units"
"828",4993,2617,"FAUNMAP 1.1",820,500,"Radiocarbon years BP","Individually dated analysis units"
"829",4995,2619,"FAUNMAP 1.1",3600,3400,"Radiocarbon years BP","Individually dated analysis units"
"830",4996,2620,"FAUNMAP 1.1",1450,1450,"Radiocarbon years BP","Individually dated analysis units"
"831",4997,2621,"FAUNMAP 1.1",1025,750,"Radiocarbon years BP","Individually dated analysis units"
"832",4998,2622,"FAUNMAP 1.1",970,970,"Radiocarbon years BP","Individually dated analysis units"
"833",4999,2623,"FAUNMAP 1.1",730,550,"Radiocarbon years BP","Individually dated analysis units"
"834",5000,2624,"FAUNMAP 1.1",1655,1150,"Radiocarbon years BP","Individually dated analysis units"
"835",5003,2627,"FAUNMAP 1.1",655,340,"Radiocarbon years BP","Individually dated analysis units"
"836",5004,2628,"FAUNMAP 1.1",490,210,"Radiocarbon years BP","Individually dated analysis units"
"837",5005,2629,"FAUNMAP 1.1",1760,1350,"Radiocarbon years BP","Individually dated analysis units"
"838",5006,2630,"FAUNMAP 1.1",3500,1605,"Radiocarbon years BP","Individually dated analysis units"
"839",5008,2632,"FAUNMAP 1.1",9310,5480,"Radiocarbon years BP","Individually dated analysis units"
"840",5009,2633,"FAUNMAP 1.1",9650,9380,"Radiocarbon years BP","Individually dated analysis units"
"841",5012,2636,"FAUNMAP 1.1",10030,6300,"Radiocarbon years BP","Individually dated analysis units"
"842",5013,2637,"FAUNMAP 1.1",2000,1550,"Radiocarbon years BP","Individually dated analysis units"
"843",5014,2638,"FAUNMAP 1.1",12420,12420,"Radiocarbon years BP","Individually dated analysis units"
"844",5015,2639,"FAUNMAP 1.1",14830,14430,"Radiocarbon years BP","Individually dated analysis units"
"845",5016,2640,"FAUNMAP 1.1",23240,23240,"Radiocarbon years BP","Individually dated analysis units"
"846",5022,2646,"FAUNMAP 1.1",2000,240,"Radiocarbon years BP","Individually dated analysis units"
"847",5023,2647,"FAUNMAP 1.1",4400,1150,"Radiocarbon years BP","Individually dated analysis units"
"848",5024,2648,"FAUNMAP 1.1",850,550,"Radiocarbon years BP","Individually dated analysis units"
"849",5030,2654,"FAUNMAP 1.1",10150,10150,"Radiocarbon years BP","Individually dated analysis units"
"850",5035,2659,"FAUNMAP 1.1",12000,8000,"Radiocarbon years BP","Individually dated analysis units"
"851",5036,2660,"FAUNMAP 1.1",6750,3450,"Radiocarbon years BP","Individually dated analysis units"
"852",5037,2661,"FAUNMAP 1.1",3220,350,"Radiocarbon years BP","Individually dated analysis units"
"853",5042,2666,"FAUNMAP 1.1",380,220,"Radiocarbon years BP","Individually dated analysis units"
"854",5043,2667,"FAUNMAP 1.1",1150,900,"Radiocarbon years BP","Individually dated analysis units"
"855",5044,2668,"FAUNMAP 1.1",645,565,"Radiocarbon years BP","Individually dated analysis units"
"856",5045,2669,"FAUNMAP 1.1",9230,1270,"Radiocarbon years BP","Individually dated analysis units"
"857",5046,2670,"FAUNMAP 1.1",35000,1,"Radiocarbon years BP","Individually dated analysis units"
"858",5049,2673,"FAUNMAP 1.1",1230,700,"Radiocarbon years BP","Individually dated analysis units"
"859",5050,2674,"FAUNMAP 1.1",1230,700,"Radiocarbon years BP","Individually dated analysis units"
"860",5051,2675,"FAUNMAP 1.1",850,490,"Radiocarbon years BP","Individually dated analysis units"
"861",5052,2676,"FAUNMAP 1.1",430,430,"Radiocarbon years BP","Individually dated analysis units"
